id,text,label,annotator1,annotator2,source
38,"Được hôm se lạnh mà đi ăn dimsum các thứ là bét cuộc đời đi :3 Quán nằm ở đoạn phố hơi khuất, không phải trục đường chính nên cũng hơi thưa người qua lại. Ai thích yên tĩnh nhẹ nhàng hẳn sẽ hợp. Không gian chỉ có 1 tầng mở thoáng, khách không đông quá nên vẫn ổn. Menu chỉ có các món phổ biến dễ thấy, không có được đa dạng cho lắm. Cơ mà ăn món nào cũng khá chất, mùi vị không chê được. Thích nhất chân gà tàu xì, mình bị nghiện em này, đi quán tàu không ăn là phí đời người. Các xưởng cảo có tầm 3-4 miếng tuỳ loại, đồ ăn nóng hổi thích mê. No bụng hẳn thì mình gọi mỳ thập cẩm nhưng có vẻ nước dùng không đúng gu mình lắm. Nhân viên phục vụ mặt mũi hơi lạnh lẽo, giá trung bình 45-50k/món.",NEU,NEU,POS,
39,"Mình ít đi ăn dimsum nhưng hôm nay ăn ở đây thực sự hài lòng. Chân gà tàu xì ngon vị vừa, sườn mềm, xíu mại ngon, bánh xếp tôm vỏ giòn, tôm bên trong tươi ngon . Sẽ quay lại",POS,POS,POS,
40,"Mình gọi qua delivery , đồ ship đến vẫn còn nóng . Thấy mn khen xíu mại của quán ngon lắm nên mình gọi thử cùng vs bánh bao xá xíu và hoành thánh , món nào cũng ngon nhé , vị ăn rất khác các chỗ khác , ấn tượng hơn",POS,POS,POS,
41,Một ngày ăn cả trưa và tối tại quán :)) Quán có xíu mại cua và há cảo tôm rất ngon và vừa miệng. Ăn xong làm bát mỳ vịt tiềm là đúng chuẩn luôn.,POS,POS,POS,
42,"Quán ngay gần nhà mình mà giờ mới để ý. Quán có bán các loại mì và đồ tàu, k nhiều món lắm. Hoành thánh ăn cũng ok, nhưng rau cải kiểu này mình k thích lắm, đương nhiên so với hàng chuyên bán mì vằn thắn thì k bằng được. Há cảo cũng khá ngon, vỏ mềm, nhân đầy đặn, thực sự khá bất ngờ vì chất lượng này. Quán nhỏ nhưng nhân viên cũng có đồng phục nhìn rất có cảm tình 👍🏻",POS,POS,POS,
43,"Đã gọi ăn mấy lần nay mới trồi lên đánh giá. Về chất lượng: xôi dẻo thơm, không bị khô cứng. Chả cua trông hơi ít nhưng ăn rõ vị cua, lại thơm tiêu, ngon thật sự. Hành phi ok, dưa chuột chua thêm tí nữa thì ngon. Hành phi, dưa chuột sẽ để riêng nhưng mình để chung vào xôi cho ngon mắt :))). Giá cả hơi cao nên gọi nhiều sẽ đau ví 😭, nhưng bù lại suất xôi đầy đặn, ăn no căng, chất lượng ưng miệng, cảm giác không phí tiền.",POS,POS,POS,
44,"Giữa trưa nắng, mình mò ra đường tìm mua quẩy đùi gà. Google Map chỉ cửa hàng nằm ở trước nút giao Thái Thịnh - Yên Lãng nếu đi từ*** nhưng hoá ra nó nằm ở gần đoạn giao với Láng Hạ cơ. Quẩy đùi gà ở đây nghe nói đã từng có mức giá 500đ, 800đ và bây giờ thì là 1000đ/chiếc. Chắc trên Now lấy thêm 200đ :))) Ngồi trông hàng có vẻ là cô chủ và con trai, có tới hai rổ quẩy đầu ụ rán sẵn bày ở đó rồi. Quẩy nhìn chung là dễ ăn, ăn lúc nóng càng dễ ăn hơn vì khi nguội sẽ nhanh ngán vị dầu mỡ. Bột ngòn ngọt, có rắc vừng phía trên rất thơm. Mình lấy 10 chiếc, quẩy được gắp rất nhanh cho vào gói giấy và mình đem về. Cứ nghĩ là ít thôi nhưng đến khi ăn mới biết là quá nhiều :))) ăn chơi chơi chắc chỉ tầm 5 cái là no bụng rồi, uống ít nước thì sẽ ăn được nhiều hơn nhưng mình không thể không uống. Mình sẽ quay lại lần khác và mua ít hơn :)))",POS,POS,POS,
45,"Mình đặt 5 gói bánh nhúng mà lại giao 30 bánh đùi gà là sao nhỉ, trên now ghi là bánh nhúng mà shipper đến lại bảo quán ấy chỉ có quẩy đùi gà thôi?/?",NEG,NEG,NEG,
46,"Đặt đồ trên now ship giao đến đúng giờ, đựng trong gói túi cũng khá cần thận. 1k/ cho 1 em quẩy xinh xắn nhỏ nhắn như này, ăn cũng vui miệng. Quẩy chiên thơm, tuy có cái cũng hơi ngấm dầu quá, Nếu như so với ăn quẩy truyền thống hoặc quẩy chấm giấm thì quẩy đùi gà lại có 1 vị khác hẳn bởi ruột cảm tưởng phần ruột được nhào đặc bột hơn thì phải Nói chung mình thấy ok, cơ mà now dạo này tính thêm cả phí dịch vụ nữa nên cộng vào hơi buồn :)",POS,POS,POS,
47,Bánh tôm vỏ dày nhg ko xốp. Ko ngon như bánh tôm hồ tây đâu. Nước chấm ko ngon,NEG,NEG,NEG,
48,"Quán bún chả lâu năm nay có thêm cả các loại bánh chiên nữa. Vốn thích nem rán ở đây r nên khá tin vào chất lượng của quán. Bánh gối và há cảo cực đầy đặn vs phần nhân đầy ắp thịt, vỏ mỏng dzòn chấm quyện nc chấm chua ngọt ưng lun. Bánh tôm vs thịt tôm tươi ngập phần bánh dzòn rụm cắn đã. Bún chả ở đây cx ngon phết nha, nên thử cả nem rán nữa nhá. Bên cạnh có cả rau sống ăn kèm cho healthy nữa nạ.",POS,POS,POS,
49,Quán giao thiếu nem,NEG,NEG,NEG,
50,"Nem ngon, khoai tây chiên bơ tỏi ngon lắm, tương ớt ngon nữa mà hơi giá hơi mắc xíu. Nhưng đúng tiền nào của nấy. Lâu lâu nghiến răng làm bữa cũng được.",POS,POS,POS,
51,"Bạn tuyệt đối ko nên gọi đồ ở quán này, đồ mình gọi 10 món thì giao thiếu 2, shipper đi rồi mới biết, tìm sđt để gọi phản ánh thì ko có. Nem thì vừa bé vừa ko ngon, ăn vào vừa dai lại còn vị như miếng chả để tủ lạnh lâu ngày chứ ko thấy vị nem chua đâu cả. Mình cảm thấy quán cố tình lấy tên “36 tạm thương” để lừa mọi người nhầm lẫn với nem chua rán tạm thương nổi tiếng thì phải, còn nếu là chi nhánh # của nem chua rán tạm thương thật thì chất lượng quá kém. Tốt nhất bạn nên chọn quán đàng hoàng ăn, vừa đỡ mất tiền oan vừa đỡ bực mình!!!",NEG,NEG,NEG,
52,"Ship khoai tây rán ở đây về. Khoai đen xì, kiểu dc chiên đi chiên lại quá nhiều lần. Mình cắn 1 miếng bỏ cả hộp khoai luôn. Quá tệ",NEG,NEG,NEG,
53,"Mọi người tránh quán ăn này ngay nhé, đặt khoai thì ỉu và đen xì, nem rán thì kinh khủng luôn. Vote 1* còn thấy nhiều quá. Tránh xa và report đề nghị quán đóng cửa ạ",NEG,NEG,NEG,
54,"Nem bé bằng ngón tay út. Cắn 1 miếng hết luôn. Khoai tây lắc phômai thì k có tí phomai nào, bé tẹo, đen xì.",NEG,NEG,NEG,
55,"Mình order 28 nem chua rán, 5 pho mai que và 1 trà chanh từ quán qua ứng dụng nhưng kết quả khi nhận lại quá thất vọng. Quán trả 28 cái nem bị cắt đôi ra để rán cho có lời và 2 pho mai que, gọi trà chanh thì pha nestle trà đào 🤬🤬🤬🤬🤬. Khi được hỏi thì quán đáp ntn là chuyện bt và to tiếng với khách và bên vận chuyển. Quán ntn mà còn bán hàng và liên kết với các app được thì cũng đến chịu. Không bao giờ quay lại và khuyên mng đừng bao giờ ăn ở đây để mua bực vào người",NEG,NEG,NEG,
56,"Mình có đặt nem khoai qua công ty thì chỉ có nem rán ăn còn tạm ổn dù rán hơi già quá. Khoai tây và khoai lang thì ăn vừa cứng vừa khô như rán lại mấy chục lần vậy. Thêm 1 điểm trừ là túi tương ớt bung bét đầy túi dù đi có 700m, cái này chắc có cả 1 phần lỗi ship nữa.",NEU,NEU,NEG,
57,"chè khúc bạch ăn ổn, thiếu mất long nhãn á😭Khúc bạch cắt vuông này thì ko đẹp bằng cắt hình sống lắm.",NEU,NEU,NEG,
58,"Mình biết tiệm chè này cơ sở trên Hàng Giấy rồi, trước có ăn thử nhưng không ấn tượng lắm. Đợt này thấy Chè Xoan ở Chùa Láng có chè bơ nên mình tạt vào mua ăn, mình không có nhớ là ngày xưa có chè bơ. Bất ngờ là chè bơ ở đây khá ngon. Một cốc chè bơ ngoài miếng pudding bơ thì có thạch lá nếp, nhiều phết, rồi một ít thạch sương sa, thạch sợi với trân châu nữa. Mình để trong tủ lạnh một lát mới lôi ra ăn, ăn ngon phết. Pudding bơ ở đây khá nhạt, không ngậy lắm, tương đối nhiều vị bơ, mình thích ngậy hơn một chút như ở một tiệm online mình từng ăn. Giá 30k/cốc, so ra thì hơi cao một chút với chất lượng. Ở tiệm có kha khá các loại chè khác, cũng có trên mấy app giao hàng, giá cả loang quanh 15-35k thui nên cũng tạm gọi là hợp lý ạ. Món này ăn mùa hè thì ngon lắm lun.",NEU,NEU,POS,
59,Mình có order 1 hộp sữa chua từ chè Xoan. Dù hạn ghi 30/7/2020 nhưng sữa chua đã lên mùi,NEG,NEG,NEG,
60,"Lại là một buổi tối ham đồ ngọt và các chị em lại khám phá trên foody một hồi. Có 1 số hàng chè có giá khá ổn áp thì lại không có chè sầu thái mà mẹ mình lại đang muốn ăn chè sầu. Xem một hồi rồi lại đặt tạm chè Xoan cơ sở Cầu Giấy, chả biết nếu ship về nhà mình thì có gần hơn bên Hàng Giấy không :)) Caramel thập cẩm vẫn là chân ái, vẫn hay gọi nhất, mỗi lần đến cũng chả biết gọi gì thì gọi tạm caramel vậy. Chè thái sầu riêng họ để riêng sầu bên ngoài để giữ được nguyên vị. Để vào chè luôn rồi mang đi ship nó hoà tan mất.",NEU,NEU,POS,
61,"Chè thơm, ngon giá hợp lí Giao hàng nhanh Nem chua rán ok",POS,POS,POS,
62,"Mình gọi ship và cực ưng cách đóng gói của quán. Mọi thứ đều để gọn gàng và sạch sẽ, túi xách logo quán nhìn hịn luôn 😁. Chè ăn được chứ không ấn tượng như mình nghĩ. Vẫn sạch sẽ và đáng để ăn nếu thèm chè bưởi nha.",POS,POS,POS,
63,"Nước cốt chè ngon, bùi. Chè bưởi siêu ngon, cùi dẻo dao, bùi. Ngon vừa miệng. Chè thập cẩm ổn. Còn caramel thì hơi bị ngậy và khác với caramel bình thường hay ăn. Ở đây công thức nghe vẻ có sữa bột nên hơi ngậy. Nhưng ngon. Thái độ phục vụ tốt dù họ làm việc liên tục. Quán sạch sẽ.",POS,POS,POS,
64,"Chè rất ngon ạ. Lâu lắm rồi mới gặp được quán chè ngon thế này. Caramel mềm ẩm và rất thơm, ngọt vừa phải. Chè thập cẩm cũng rất ngon, ngon từ topping tới nước chè luôn ấy ạ. Highly recommend ạ.",POS,POS,POS,
65,"Quán ít khách nhưng nhân viên và chủ rất lề mề , làm ăn chậm chạp , quán nóng như cái lò , đi ăn mà ăn nguyên cái cục tức , k bao h quay lại ok.",POS,POS,NEG,
66,Chất lượng và sang trọng miễn chê👍,POS,POS,POS,
67,"hôm nay mưa gió , mình chạy ra quán mua bánh , lúc về mới thấy thiếu mất 2 phần sữa chua. Gọi điện thì nhân viên bảo lỗi do khách không chú ý, trong khi thanh toán xong xuôi ko dặn khách đợi lấy sữa chua, đưa hoá đơn và để túi bánh trên bàn, lúc mình gọi còn đổ lỗi a phải tự nhớ để lấy chứ đã gọi ship đến cho mình và bảo mình trả tiền, cực kì thất vọng về thái độ nv ở chi nhánh này, bánh của cửa hàng vẫn rất ngon nhưng hnay ăn tụt hết cảm xúc",NEG,NEG,NEG,
68,"Không gian gồm 2 tầng, tầng 1 là khu bán bánh, tầng 2 ăn tại chỗ, không gian hơi bé và hẹp Ở cơ sở này bánh hết rất nhanh nên buổi tối không còn nhiều lựa chọn, nhưng bánh xúc xích dài khá ngon",POS,POS,POS,
69,Một ngày được ăn bánh ngàn lớp việt quất chua chua ngọt ngọt. Thêm ly latte nữa quá xá đã ~^^~.,POS,POS,POS,
70,"TLJ dạo này xuất hiện rầm rộ trên grabfood nên mfinh cũng thường xuyên gọi bánh về ăn sáng. Ngoài các loại quen thuộc thì còn có croquette vị mới là nhân kimchi, ăn cũng khá độc đáo nhưng mình k ăn được cay nên k thích lắm, nhân chỉ có mỗi kim chi nên hình như có vẻ nhiều nhân hơn các loại vị khác, tuy nhiên cái vỏ bánh này thì vị gì ăn cũng ngấy như nhau.",NEU,NEU,NEG,
71,"Mình đặt bánh gato sinh nhật qua Now rất nhiều lần hết bánh cần đặt, đc nhân viên cửa hàng giới thiệu bánh khác cùng giá tiền, thường là loại mình k thích nhưng vẫn chấp nhận nhưng hôm nay là trải nghiệm tồi tệ nhất. BÁNH cacao (caramel). Bánh gato cứng thậm chí k thể cắt được, được nhân viên giải thích là bánh mất 1 tiếng để ngoài mới mềm dần nhưng từ lúc order đến khi ăn gần hai tiếng bánh vẫn cứng đơ như kiểu bánh cũ. Thực sự thất vọng!",NEG,NEG,NEG,
72,"Mình gọi 2 Potatoes Bacon Cheese để ăn sáng. Hí hửng tưởng ngon. Ai dè nhận được hàng, vỏ ngoài thì giống bánh rán. Nhân còn ko bằng bánh rán. Trong giới thiệu là có bacon mà mình tìm muốn rơi con mắt ko thấy đâu. Thật sự thất vọng .",NEG,NEG,NEG,
73,"Hôm nay minh gọi món nhưng lại hết món mình thích, phải chọn lại 2 lần mới còn . Chẳng hiểu nhà hành phục vụ kiểu gì mà lại hết . Mình đã thấy thất vọng lắm rồi. Quán xác nhận rất chậm . Một điểm trừ nữa . Đến lúc chú shipper giao hàng tới nơi thì bánh nguội ngắt như kiểu để từ sáng rồi ý . Đã thế cách gói hàng còn không đẹp mắt làm cho sốt trên bánh dính tung toé lên giấy bọc. Lúc mở bánh ra thì thấy chẳng còn bao nhiêu sốt vì đã dính hết lên giấy bọc rồi. Ngoài ra bánh làm có vẻ bị vội nên sơ sài, chẳng giống hình tí nào. Mình chỉ kịp chụp lại egg tart và so sánh với hình thì đã thấy không giống rồi. ",NEG,NEG,NEG,
74,Mình là khách quen rất hay mua bánh melting ở đây nhưng mà bánh hay hết sớm qá Mong TLJ tăng lượng bánh này lên để phù hợp nhu cầu khách hàng,NEU,NEU,NEU,
75,Bánh nướng thì k ngon nhưng bánh chiên thì cx tàm tạm,NEU,NEU,NEU,
76,"Bánh ngon Nước bình thường, gọi đồ nóng mà lạnh tanh. Hơi ngọt. Mình thấy đắt so với chất lượng. Mình ngồi ở tầng 2. Ngồi 1 lúc thì có 1 bạn nhân viên lên để lau dọn thùng rác gì đó. Bạn ý ngồi trong nhà vệ sinh vừa cọ vừa nói chuyện điện thoại rất TO, cười đùa rồi đôi khi còn nói tục. Ở ngoài chỉ có 2 bàn là có khách (bàn của mình và 1 bàn nữa). Bạn nhân viên nói chuyện đt mà cả cái tầng 2 đều nghe rõ rội dung bạn ý nói gì )) Mất lịch sự vô cùng Mong TLJ nhắc nhở nhân viên.",NEU,NEU,NEG,
77,"Lần đầu tiên đến quán mình đã vote cho quán gần 8 sao vì rất ưng đồ ăn ở đây. Nhưng càng ngày lui tới mình lại càng thấy chất lượng đồ ăn của quán rất phập phù. Có hôm ngon, có hôm lại rất tệ. Hai hôm mình mua bún trộn mang về thì đều bị đau bụng. Giá cả cũng tăng vù vù trong khi chất lượng đồ ăn không được cải thiện. Ví dụ như 45k/ bát bún riêu hoặc bún chay thì giờ chủ yếu là rau, giò chay hoặc tôm chay đều k có nữa. Sau khoảng hơn chục lần đến quán thì mình sẽ không quay lại đây nữa vì đồ ăn ngày càng giảm sút mà giá lại tăng không tương xứng với chất lượng.",NEG,NEG,NEG,
78,"Ngày rằm xa nhà nên tự gọi về suất cơm chay ăn cho thanh tịnh 😂 Cơm đóng hộp cẩn thận. Đồ ăn đầy đặn khá ngon, sạch sẽ. 9 điểm ❤️❤️",POS,POS,POS,
79,55k/xuất. Ko biết đây là gỏi nấm hay gỏi dưa chuột? Nhận hàng mà thấy quá chán đời luôn,NEG,NEG,NEG,
80,Hôm mình đến ko phải rằm hay mùng 1 nên quán khá vắng vẻ. Lúc order mấy món ko có vì ko phải ngày làm chính. Sau một hồi thì cũng tìm đc món ăn thích hợp Cũng ko phải đợi lâu lắm Nhân viên cũng vui vẻ nhiệt tình Các món ăn đều ngon và thơm vị ngọt của nấm Giá cả cũng hợp lý. Ăn chay mình cứ tưởng ko no mà lại no ko tưởng Tuy có món cơm hơi bị mặn một chút Thấy ở đây còn có buffet 100k ngày rằm. Hôm nào mình sẽ thử ra ăn xem sao,POS,POS,POS,
81,"""CHÁN"" Gọi 2 xuất miến trộn 2 người ăn thì cho chung một hộp, chẳng hiểu là bảo vệ môi trường hay là nhà hết hộp nữa. Mà 2 xuất gộp lại thì chưa đến 1,5 xuất bình thường, ăn xong như chưa ăn, giá thì vẫn thế, chất lượng thì cũng bình thường. Thôi lần sau cạch. Chúc các bạn may mắn với những khách hàng kế tiếp. :)",NEG,NEG,NEG,
82,"Đây là quán công ty mình lui tới thường xuyên. Vịt nướng ở đây rất ngon, thịt mềm, thơm, tẩm ướp chuẩn vị. Quán mới có thêm món salad vịt ăn lạ miệng và rất ngon. Giá cả phải chăng, phục vụ nhanh nhẹn.",POS,POS,POS,
83,Phù hợp cho dân văn phòng ăn trưa và tụ tập nhóm.,NEU,NEU,POS,
84,"quán này là quán chị mình thích nên rủ mình ra đây ăn, mình cũng khá thích đồ ăn ở đây quán khá đông khách nên mở rộng quán có 2 phía, nhưng vẫn phải xếp chỗ nhân viên ok, cũng thân thiện phết thường đến đây bọn mình thường gọi 1 con vịt hoặc ngan nửa luộc nửa quay, 1 bát canh mang ăn kèm bún với hôm trước mình cũng mới thử tiết canh ở đây nữa nói chung thịt vịt chắc, vị ăn vừa nhưng có điểm trừ là hơi lắm mỡ, canh măng ăn cũng khá ngon, tiết canh ăn ok, nhiều nhân, khá tươi nữa giá cả khoảng 100k mỗi người",POS,POS,POS,
85,"Vịt không ngon,nướng khô mà luộc lại mỡ.mình ăn được một lần mà thấy thất vọng.quảng cáo dữ lắm mà đến thấy chỗ nấu nướng các thứ trông bẩn bẩn chả sạch sẽ,đồ ăn mang ra cũng không được tử tế,lịch sự...nchung là ăn một lần cho biết thôi",NEG,NEG,NEG,
86,"Đối diện nét huế, hoá ra là cùng hệ thống luôn, ngồi bên nét huế gọi đồ vẫn được và ngược lại. Không gian cũng rộng rãi cơ mà không có khách mấy nền thành ra ngồi nó bị ảm đạm. Chủ định ăn bánh canh nên không ngó nghiêng gì các món khác, nhìn menu hình ảnh hấp dẫn mà mạnh dạn bỏ qua. Đồ ăn làm hơi lâu xiu xiu, tô bánh to đầy đặn nóng hổi hấp dẫn nè. Nước dùng sánh đậm đà khá ok, topping đầy đủ nào tôm, chả, trứng cút, tiết,... Cá nhân mình thấy hợp miệng, ai rủ vẫn đi.",NEU,NEU,POS,
87,"Mình quê Vũng Tàu, sống ở Sài Gòn và ra Hà Nội lấy chồng. Bánh khọt ăn lạ lùng, dở. Gỏi cuốn ăn chán, tôm khô quắt queo. Bánh canh cua cũng không ngon. Mỗi món hủ tíu Nam vang ăn còn tàm tạm. Mình tìm quán món miền nam cho đỡ nhớ nhà nhưng ăn mấy món ở đây thấy hương vị kỳ cục sao á. Nước tương đen quá mặn, không béo. Quán nên xem lại hết, đặc biệt là tại sao các món có tôm tươi nhưng lại để cho khô quắt queo đến nỗi ăn như tôm khô? Sẽ không bao giờ quay lại.",NEG,NEG,NEG,
88, Chua ăn ở đâu dở như quán này ! Dm như đấm vào mồm bát hủ tiếu nam vang .. mui vị lợt lạt ko ra thể loại gì .. ăn từ nam ra bắc mà cái quán này tsu thấy thất vọng .. vào quán thì có cái mùi ôi ôi xong tanh tanh .. đéo thể tả nổi cái nỗi bức xúc !,NEG,NEG,NEG,
